	0	1	2	3	4	5	6	7	8	9
A1CF	6.75211474249756	6.71033648778878	6.83574918457463	6.7851476341467905	7.12033666879914	6.6735790948835	6.79516134901201	6.136703746319769	5.93086270353603	6.3941982939141795
A2M	5.573378002006731	5.625467645347969	5.816978948886599	6.0385045032076	5.9190932402680305	5.83774470697813	5.857197457591551	5.90603852693092	5.261646910506481	5.2261446422525
A4GALT	6.08036949357375	6.28293684631907	6.18527143362171	6.29719267175455	6.3772550963762304	6.64389898067173	6.66068091661822	6.92724666766407	7.159280044688799	6.757501479852589
A4GNT	6.60879279981501	6.531204586488639	6.80171423127084	6.4963913660614	6.96362475131701	6.92759308553071	7.098119508820679	6.222531428804509	6.31623514503778	6.362848096766929
AAAS	7.772250405533169	8.05211109916088	7.824901774091719	7.56251567911196	7.8405485849099	7.96328853383995	7.99065123308426	8.19405702262941	8.01171080385486	8.10332306542023
AACS	6.33721013600633	6.566200626428469	6.55037582564705	6.546894450325731	6.40227561171637	6.49469769809783	6.43388467489179	7.09404096229236	8.351961180480309	6.5898949593443605
AADAC	5.53198469968359	5.462708452363289	5.76461820414238	5.85401874962983	5.679090964378211	5.93278095644757	5.68547978838853	5.845457844246909	5.34938501001694	5.36065306332559
AAGAB	6.95352696654953	6.7082856205810595	6.80195145909659	6.5393184772377095	6.9847115409529605	6.9789246235636	6.939092027140401	6.7091432279209195	6.80491236926553	6.684135288796179
AAK1	6.50843456235662	6.564022518640111	6.534855402136429	6.68323594697464	6.44384077929646	6.54349495486364	6.455317726605131	6.464411555361121	7.14357801043509	6.60043382525146
AAMDC	6.59160144165129	6.6429315417929296	6.815621600825209	6.87146603927956	6.8905471350756295	6.7624172228054	7.2222447466650905	6.33496281395435	6.8400625716287395	6.78580474948671
AAMP	7.97464632071928	7.96960745725116	7.9674928097566	7.81905095432864	7.8486726888154505	7.55951932915748	7.81345878623747	8.35984392087809	8.30819662567156	8.32138291515046
AANAT	5.5158885493413	5.592305417510519	5.43740191629043	5.821967531990711	5.492606123329179	5.48331113400961	5.66968410902251	5.78236541500772	5.550055689804321	5.46304916346051
AAR2	7.92568714755607	8.16316871294058	8.00832681138461	8.22446520668447	7.97105837538004	7.876696605039481	8.29772688278765	7.95645752992109	8.51940426295626	7.62892890367396
AARS	8.52147434921335	8.48188070401297	8.5151562839317	8.48410082560568	8.39422342939396	8.21044641667495	8.739894130317769	8.93542162715651	10.1751446678084	8.90636087089471
AASDHPPT	7.03522498563908	6.969756730365419	7.924817949250929	7.530735447103701	7.72677616243479	6.86236386442151	7.119358794918241	6.776501839266349	8.10116839733074	7.470359437158081
AASS	4.82295106530785	5.10301695790388	4.58974857343864	5.1033266351329205	4.71092188278887	4.8354183515733	4.86271953058712	4.9683133088479	4.70747948588647	5.16001193621534
