	0	1	2	3	4	5	6	7	8	9
A1CF	6.43746555614379	6.19738756389589	6.429315078628429	6.35716759865293	6.1732568719406	6.36853909092467	6.33913355475945	6.2194338252415395	6.6305543177975705	6.408266339717731
A2M	5.735538413245491	5.9740924764422	6.22058250485923	5.68433441698942	5.93338449131286	5.58153659907361	5.567557520047821	7.3189023648884595	6.1987577509554805	7.50498893913453
A4GALT	6.013387892661519	6.46460625083182	6.24947936842038	6.53116953308743	5.9832007124124695	6.58542788833256	6.26452861965487	6.18870489315347	6.168244578977389	6.61470652703675
A4GNT	6.3188850839644095	6.33854826876696	6.16308878662671	6.315546017984119	6.41581530616804	6.43354886170487	6.311764738997621	6.39113649567234	6.25398133963379	6.308150454642281
AAAS	8.16838945146451	7.99360373950961	7.99570305338854	7.99583153942891	8.25771609542331	7.97016847295188	8.10256213242512	8.24670521580217	8.15300635380734	8.26455352209294
AACS	7.5022095050471505	8.0577609888034	7.25192621803295	8.245227345409981	7.91190656195691	7.5711117490752695	8.05281868054046	7.050712090296919	7.8077371769634105	7.47544143212847
AADAC	5.3962660210669995	5.24581287866885	5.21873994704463	5.26362448832625	5.1274150377155	5.6438528725531505	5.3413349736688795	5.263160155001501	6.63671696015698	5.37589698726135
AAGAB	6.971961990357539	7.29147287604784	6.81528515882323	7.19064567761109	7.17181368958651	7.204016678737791	7.39857682519581	6.71677763908145	6.408961832702331	6.539840445806741
AAK1	7.57068750932768	7.39280649113474	7.15390518859748	7.37393475766003	6.6705863103842695	7.094945076670129	7.576537069053839	7.918082160571981	7.0644820699136694	7.405226329510469
AAMDC	8.30145027385565	8.025092351848059	8.244268372294401	8.16814128110946	8.11496757162165	8.508554096442179	7.807013837280589	7.789782051878821	7.688200641537219	7.54432661921437
AAMP	8.479013898619678	8.242534360619059	8.36497991172061	8.34890042900714	8.68700141104504	8.42442516323152	8.19495222694023	8.33371072721367	8.288026747998481	8.18351619388685
AANAT	5.44109054693307	5.5166756241693795	5.305474930227589	5.57382619841999	5.488791951361491	5.7312164591748	5.532869728751139	5.560344476769401	5.4582028619336	5.49143069929821
AAR2	7.86965143577931	8.19592463996297	8.04573262800512	8.03729719359316	8.25207080922984	8.1203027123029	8.24560417448382	8.18844139740462	8.16546399196092	8.29263900493811
AARS	9.779877906578749	9.41983767568183	9.358243508122039	9.36782108638325	9.9142696995535	9.494204686241789	9.31105726358512	9.38075104114714	9.29910426283463	9.47158916582789
AASDHPPT	8.77817917021909	8.702385152546169	8.556261028234099	8.38768792141844	8.452645688931531	8.751639758427428	8.8882897784975	8.038876689934309	8.30714087464707	7.80650394363392
AASS	5.070380966363559	4.93940941300582	4.850527714459671	5.11380920922331	5.2568845064398095	4.86714695182291	4.90042012634891	5.227669020311059	4.81900951876824	5.23799462448708
AATF	8.25709268589495	7.648184248326911	8.01822525626684	8.15465637943231	8.62475652329341	8.26709255917627	7.95089064511569	8.19423340484716	8.31479357525363	7.82166502401666
