	0	1	2	3	4	5	6	7	8	9
A1CF	6.291386518742731	6.1861963784488	6.1272516770120795	5.42194426026868	6.77166892992695	5.8588838260797695	6.4400028694597395	6.02716420553481	6.56204595536085	5.975306525738731
A2M	8.619638832734179	8.78416186695063	5.706129535883269	11.049800301581	9.56587812460678	9.997847586495991	5.54311018996904	5.614057952765339	5.805656095408901	6.84179804552703
A4GALT	6.68492957072554	6.43861311315722	6.61747647017726	6.527124064369559	6.926288061428419	6.394499589838119	6.29323889982358	7.151229917239469	6.4407341814285894	6.7050565135225
A4GNT	6.390912173292169	6.178266070873571	6.000440863413839	6.232757093572579	6.48100292766004	6.03448341061799	6.351044852184019	6.21386243359458	6.4349141779396	5.6834352205275
AAAS	8.03883428160236	7.864691989981519	7.76484156470394	7.7415605941507994	8.04890176766952	7.97026020474887	8.20312465386186	7.69692117918436	8.021706323608308	8.26568165437536
AACS	6.921204683633599	6.83492365750101	7.634407633747059	6.97480993489519	6.762355241399361	6.90624369595163	8.85146029805536	7.60937129372535	7.363262407351541	7.80686692935204
AADAC	5.207930447635481	5.42494976281279	5.04192605502424	5.5101018203290595	5.32001964134795	5.6929292249422	5.36342342957163	5.4695516670024	5.388210211719019	5.34598892790272
AAGAB	7.08606963845083	7.013658788668339	7.30302418010097	7.44711603830693	7.060741579537799	7.63097367781186	7.328679480287139	6.673786536847	6.6345366537274195	6.6717258937269905
AAK1	6.82844740194892	6.75095499440656	6.60125078022133	6.6933513042029595	6.3342267768047	6.470517382988611	5.90181297922122	5.842378814465739	6.02645652096689	6.336033063621321
AAMDC	8.40155700057737	8.477942269886741	7.9783767232356	8.2740145360711	8.204966339738059	8.14903649785385	8.28808401105071	7.823538831953759	7.48958130769777	8.72676267812041
AAMP	7.76920148741395	7.861916089394491	7.77995799589311	8.193389904093209	8.29815280181337	8.1888927410201	8.02985111983859	8.84644727688231	8.64022516044595	8.31303224574929
AANAT	5.477360841206731	5.33035699811217	5.055509958621941	5.18535798892419	5.61795719294592	4.90118734669722	5.6022198952038	5.51029276942456	5.35598019768234	5.600930179324981
AAR2	8.04821576089214	7.91146408388054	7.92476960200441	7.8418222203713395	8.01908634968994	7.99655544694189	8.32206024985107	8.14163562905358	8.00664066592237	7.79564890359987
AARS	9.92081540629546	9.866514908976551	9.80213858081635	9.972055793517232	10.1776968210011	10.059430262565199	10.7602734950387	10.2246321796726	9.9631251084472	10.0112061443852
AASDHPPT	8.33680530685176	8.03344799794375	7.45150193268969	8.416470153224129	7.940424683187129	8.66241216401374	7.025610240229041	7.81124552971264	7.94264777656788	8.427292587995089
AASS	5.59396290397556	5.2244629340253095	5.364170158098889	5.28171032940264	5.09042844315819	5.18692209612143	5.588432864481961	4.909455804173059	5.014647626889389	5.34181202757446
AATF	7.939260710850849	8.28128192216776	8.09315047089751	8.333902862229769	8.10663484267686	8.23434493393322	7.7814239947234904	8.35352795742897	7.70402658330597	9.02402942939886
AATK	7.43902665288931	7.470792423164071	7.157608572732	7.06008978915671	7.3572956792205595	7.21307542875634	7.280384155901849	7.837754843119299	7.68567196666772	7.002222561945139
ABAT	5.96593350684675	5.21019740030121	5.602619653225241	5.52279879432204	5.8775056884023895	6.04986762146149	5.91520882585423	5.78732563268924	6.13102132502045	5.72737698524804
ABCA1	9.649115897380579	9.86465478525589	9.02761509170251	10.139580443823801	9.790595134187349	10.245035367324599	9.64951697100208	8.77065610303216	9.41237582961151	9.32458698808386
ABCA11P	5.02783266971836	4.78439745897616	4.76480448667429	4.82715341647914	5.31252015980124	5.07855604890501	5.00142617627192	4.856728917404019	4.547747763350929	4.8431476197161
ABCA12	3.98099397942427	4.08529985722146	4.057448107065009	3.98178100659033	4.46157032942979	4.24096015443742	4.22544644375113	4.0393142605352494	4.01507026299297	4.46395956852829
