	0	1	2	3	4	5	6	7	8	9
A1CF	6.7382342148964405	6.35906850695744	6.09793244639938	6.88279893444219	6.23533213593508	6.23718853693303	6.13009413828427	6.43192642810505	6.199460196508549	6.288309812324281
A2M	5.41972692530309	5.479721096589251	4.9773167974042805	5.50302991423414	5.18613083208951	5.43125799662197	5.31484442480345	5.49558436981725	5.47832984336056	5.674772434243231
A4GALT	6.4448206420408995	6.79846483140895	6.50074005357522	6.668472892555539	6.5719215533325706	6.0651489400244705	5.97539545725397	6.74269201087641	6.05078873263115	6.32655260152481
A4GNT	6.351961163050669	6.47241507070393	6.23011775083005	6.437825441782009	6.2212094856447395	5.91571302664013	6.09192513369634	6.021464827209471	6.002724043963849	6.310357721631299
AAAS	7.56518299952186	7.69471390357968	7.69921488483657	7.7367717367873	7.56490621623644	7.435240785000451	7.40116626523822	7.79027515377264	7.4102261697625496	7.43508526702827
AACS	7.200654786129951	7.16123741328354	7.220682437395481	7.13742008191298	7.10984339321519	6.835045974412429	7.32979327935773	7.23340739451713	7.55817468453429	7.35127330440697
AADAC	5.272318402521861	5.68658776598492	5.34391269404536	5.509346838186411	4.97637641227307	5.24236251709591	5.1337371403530305	5.184140639262111	5.13504442793505	5.17283184649448
AAGAB	7.0964202053827	7.0308362783017895	6.52750491400358	7.4279819774335	6.696399267156281	6.754177159622821	7.009966390084441	7.137759610156371	6.62956037692626	7.12574145587997
AAK1	7.22664367040148	7.36361785952736	8.175375164317	7.1527464616562195	7.310694959982031	6.8588299637567305	6.86859613699464	7.765058298132969	8.32397534308733	7.33351159333885
AAMDC	7.71636175009855	7.75965066369084	7.898329135452809	7.829221208368829	8.1913317747983	7.985395817089009	8.358934389393589	8.114954940156661	8.31051224398605	8.69819983059783
AAMP	7.67771835369887	7.66770418275643	7.575835656827049	7.54978394685636	7.89084829566487	8.75637455805411	9.584710946950329	8.03645746261852	8.209528164741121	8.91739175372519
AANAT	5.71649020677721	5.505548574879089	5.291643153052691	5.756873204434969	5.637656462683129	5.34231315255043	5.34329603873499	5.34806327449486	5.3619898454875	5.1500937478736795
AAR2	8.3977686287153	8.07095218261364	8.16156288780276	8.1896276236292	8.40215214280785	8.14374814468339	8.402016072730559	8.57441830257372	8.30254384853078	8.57947655888966
AARS	8.96587827809408	8.835650376272211	8.45893799756	8.9468478712079	8.60422073744935	9.001414142690551	9.28101628374746	8.965525639197429	8.90318484211303	8.82107663017267
AASDHPPT	8.35747903579228	8.94360957314923	8.59758567953096	8.360713337364741	9.03694900431625	8.67094321868961	9.545312891997538	8.95811050625749	8.75376178091385	9.589571966148382
AASS	5.03420718028305	4.6061994656998095	4.72450433397583	5.04930956735687	4.8781428396022095	4.90283156887949	4.874356248921	4.73938983923764	4.60537995612257	4.4569415556863605
AATF	8.862634797011609	8.942374783899929	8.752496665998029	9.18395937664986	9.16275127616095	9.81214016400917	9.71389225831453	9.027660819364518	9.18045573054015	9.44102403140997
AATK	8.15278214034053	8.27077429346637	7.50683890560871	8.394087331313191	7.706373272909911	7.694722972579419	7.550709573288819	7.545230386746531	7.461188014740701	7.45246660472783
ABAT	7.7086800939861595	7.57608129299358	7.72555887262115	7.44365739646633	8.0946459023104	7.7065562703281705	7.926196041984429	6.746437081274951	6.4308685706596895	7.71007615480868
ABCA1	6.20473877855168	6.06467969272969	6.73294281274255	5.973099922779849	6.85016459765747	6.405185119695361	6.791926048516509	6.83322748334957	6.46709750823128	6.76042352762287
ABCA11P	5.36981050803458	4.867686606282059	4.77230858234942	4.84541887614336	5.04887458233679	4.75824727837529	4.566074793593191	4.37785077909759	4.61114552599309	4.606835771279719
ABCA12	4.20329148201559	4.26734567654884	4.02684225354689	4.1396996696958	4.19287636111065	4.19782613229184	4.22608944949354	4.21252380506338	4.040152951728779	4.30581715130821
