	0	1	2	3	4	5	6	7	8	9
A1CF	6.517066822012191	6.666520537685111	6.60598691345626	6.48094312775375	6.15516891867913	6.83009423771898	6.52478431529632	6.86441719372295	5.99379678548037	6.427603517137981
A2M	5.750402687188441	5.69459777972275	5.697416045943981	5.63578550720338	5.54395829376438	5.4203905527862	5.423827325236269	6.17265875085879	5.30636763211848	5.58436320554737
A4GALT	5.98740754318284	6.007616770156009	5.85413431708614	6.11638900135257	5.873586447589281	6.22196689090394	6.19839888118487	5.880961206440049	5.95874265305807	6.2009277832002905
A4GNT	6.348653693994991	6.22129074337458	6.229937713094389	6.29717776628882	6.24150493461825	6.24755251490003	6.36751233975762	6.46970093619762	6.29300136641354	6.30863234750435
AAAS	7.732600599778321	7.869265255815639	7.72704071002221	7.414467019860999	8.097423021831371	8.02837107479891	8.05835271422663	7.75458712257497	8.02114551032986	8.041330190022041
AACS	7.39749749632941	7.02743959617517	7.121820901659371	7.53315738706528	8.06786746527493	7.52969843858353	7.435202845548919	7.73099354191436	7.92322357238629	7.32593918283903
AADAC	5.37416508349321	5.273406402961419	5.318729099543809	5.44332013800986	5.29694529091318	5.38411909628003	5.34957892242283	5.3036105514704595	5.140791456056	5.13321910328114
AAGAB	6.937068263459	6.880613507506889	7.37752369158946	7.660017285332009	8.0091386574045	7.40189474138246	7.5594265271990295	7.42405644846211	7.709106500486809	7.75903341721494
AAK1	8.80047781795971	8.21790026095957	7.53139837704674	8.412252453830451	7.36528970657237	8.09951141185848	7.23671205121596	6.81303422342942	8.027285205070209	7.469777232126019
AAMDC	6.814950248458589	6.90702554746246	6.9857788637212	7.09980883471333	6.7653493863490795	6.84243991420291	6.67734310365137	6.5007484252974805	6.977400509936871	6.61288158587657
AAMP	8.29186053940929	8.08119442933781	8.21978748310689	8.23569523586311	8.07871628208539	8.08151199942649	8.1231855386986	8.364963537299511	8.217630086713019	8.266752195302018
AANAT	5.3693823296754095	5.4867585577845706	5.6108952224105	5.4572128031342695	5.30822531247959	5.6643281505228495	5.39013342306641	5.534877724946001	4.99412660410404	5.35117280958606
AAR2	7.8986548738184705	8.15133236086919	8.16768901579579	8.39931896390369	8.628011155759571	8.24096341048104	8.50359695502921	8.52317550963987	8.365874306807669	8.5915336270885
AARS	9.27353738996419	9.09794528092845	10.2248722448781	9.28999388173897	10.127441133696301	10.3973113652055	10.5352626775575	10.2647334650605	9.96394064368635	10.2216396544803
AASDHPPT	8.32443253782557	8.41110534035551	8.984770999183109	8.89749917058509	9.6895214864188	8.52163416743094	8.98153256083142	8.916566882405661	9.37828350737427	9.20321036875105
AASS	4.582620588271809	4.84664813246279	4.648941733621441	4.507590617450161	4.618945938722691	4.61684050295635	4.6419313291578295	4.5233695307973605	4.723870266697451	4.56845146931016
AATF	8.94192055521604	8.61906871970335	8.347394385678509	8.966022402937199	9.108451157162289	8.55353734417851	9.079647136873321	8.77659375880247	8.73861198222823	9.04017845186451
AATK	7.5654086694585	7.257116428525059	7.54323066424366	7.48989893325804	7.51789388416152	7.542728725048111	7.4506935483268	7.54503283271937	7.44566732337761	7.64122524706887
ABAT	6.87063054667418	6.765156132910219	6.55877198379853	6.51258850357388	6.63566209625589	6.26943490934608	7.7906663234665094	6.63829095354754	6.074189740312179	6.61009013294374
ABCA1	6.1415481502545894	6.15007318369324	6.1608543970995795	6.1177274611329695	6.19381769325799	6.3073786530407405	6.1202907028507605	6.45932100688602	6.19484096329496	6.2194697193292106
ABCA11P	5.49834088167308	4.946666599601571	4.94689974788718	4.6879951837689005	4.9223270203535705	5.341691714438889	5.05100895416901	4.908022730858661	5.293862408711	4.844961866091821
ABCA12	4.15372989433072	4.062723511533879	4.15406736206339	4.13217949592565	4.09944898874503	4.293092515118221	4.2207925053670605	4.17541830015645	4.06689923878029	4.06594599397816
ABCA2	7.2838317646411594	7.7269732803654305	7.255858741190259	7.2860938484150894	7.03384606299537	7.611664280304769	6.85250192462585	7.5255688208209905	7.16394408767167	7.341070466179731
ABCA3	6.261987718511749	6.366451370573371	5.9574633635911205	6.3945817559401	6.0775600018418094	6.056651495895599	6.03623152884326	5.906890720940701	5.75404868768391	6.30107548120024
ABCA4	6.05118460696323	6.124409270887081	6.522381275397071	6.03442340903082	5.925378655361071	6.0786070223209	6.11936859587049	6.36626658632645	5.777617154682059	5.96816740582441
ABCA5	6.92143580201087	6.85269866150371	6.35239764777217	6.4935140552443595	6.58872680037673	7.080428578636969	6.46630337881788	6.0903807467371704	6.81016879322397	6.53850207086925
ABCA6	4.82862913753104	4.56373142119825	4.77985470908608	4.51651270670884	4.72073902451855	4.79688314889792	4.736097395151599	4.964836340302231	4.817828156021981	4.62757832535007
ABCA7	7.025381874529929	7.266260240547579	6.158121049710879	7.84291040627216	6.76166221645714	6.6678474241293095	6.27057484286258	5.9962622132646	6.55793655930236	6.7609228431910005
ABCA8	3.9643811327425293	3.92027511088808	3.93940359508376	3.9964528840178	3.9398585401635295	3.81284405394107	3.8980032330513503	3.97876291701129	4.05407369147003	3.9057627781405
ABCB1	7.613556622153459	9.16649347512681	7.74154988222198	7.358357965426951	6.76892481650276	5.76754805184122	7.1605809403783605	5.29251432688662	6.010136153275419	6.2236098592624005
ABCB11	5.051780701368839	5.09800446263546	4.88240046323656	4.992632476818099	4.92192134518924	4.911515468158349	5.16081806545737	5.1435187593982	4.988283084374579	5.01581772575158
