	0	1	2	3	4	5	6	7	8	9
A1CF	7.14011548695166	7.4633815491536	7.31626993886239	7.12123500963911	6.52844546264829	6.77830861822754	6.70305290274301	6.86667612176448	6.80825395661456	6.93055075382154
A2M	6.130158053288749	5.9863757073443695	6.426282146983239	6.42576457312981	5.6061542618845595	5.825012684676301	5.94521241748637	5.50831652949007	5.60947053857068	5.79750585789844
A4GALT	5.9087980572014995	5.801202087107151	6.7150022308376505	6.8258107912095705	6.618956510097389	6.501377915517209	6.72298214029097	6.237522533205509	6.2764999618414805	6.51867106322723
A4GNT	6.470174977364099	6.39223213481842	6.28228789341451	6.317798622814269	6.637119654878019	6.576458233271401	6.37377432875167	6.59114921412483	6.47738288187955	6.37538829902829
AAAS	7.6319968264168	7.608724805085401	7.891383451939	7.9651872714579905	7.7211738429534105	7.66472524389894	7.83267640008593	7.63317017299512	7.80711756608085	7.6406745448687605
AACS	6.20646855230605	6.3108367166398205	5.92861074602731	6.113750394602751	6.315774257119731	5.92811206007493	6.54105560049232	6.60015607609691	6.26214153080633	6.37457371787291
AADAC	5.527954361360231	5.570056119744309	5.3666908774870405	5.4785699373894206	5.4851902492854	5.29391731396885	5.6026185637499	5.788391883575129	5.6777307288100705	5.60709741238441
AAGAB	6.93308129994588	6.980558625797499	6.48068478371979	6.69615875023013	7.03156961160113	6.7039417523250595	6.618045030392211	6.7299515900289	6.72129994891938	6.64738339199742
AAK1	7.907826606294969	8.131757443942961	6.99216944932911	6.253114876112269	7.09717536213778	7.0258338665623	6.912828303807861	8.137765381252661	7.90123948859137	8.27370347797996
AAMDC	6.660196513065139	6.78578805089241	7.14304353760425	6.5970230365678795	6.76490219741843	6.7030518965666	6.35308635173786	6.85655621368974	6.86904929955172	6.8431814240818
AAMP	7.523166017202111	7.02886452095308	7.5235421816308605	7.269469385570459	7.48177358761417	8.09568717929211	7.60856738012984	7.73682543227872	7.68083913500582	7.589677493447571
AANAT	6.146202130718191	5.64348589211075	5.99160609724838	6.00020651536157	5.89029198113495	5.84391478966828	5.62227467732529	5.74812278637576	5.68393711096014	5.908412590296691
AAR2	7.73933963103496	7.63639919855811	8.04369510972839	7.6452637922003195	7.80584337535294	7.7721462794728895	7.283634921464231	7.718231461755919	7.724753105195401	7.65532915255902
AARS	7.900220420027179	7.77569454432716	7.863435436631661	7.534380971127911	7.661453809965381	8.17056854442372	7.66220002902729	8.53101283380737	7.94450859718764	8.50360704003502
AASDHPPT	7.11987975389895	6.538024852785401	5.35419316114003	5.4721899954959206	6.944043107125401	6.68356966655095	6.44167231764848	6.564253436151309	7.096017296553691	6.09936399104177
AASS	4.74254983128807	4.69728323685342	5.477786315722719	5.25327790052788	4.6901245892151	4.61662408499447	4.83626854970989	5.02298962395631	4.75443373825288	4.913144232545299
AATF	8.101733242749269	8.19107882357837	8.11298671033059	8.2746633011585	8.452474846075491	8.17826439731274	9.18489044707917	8.38760887245889	8.51150522766476	8.57390625029581
AATK	8.59259998211791	8.85749755458623	8.54239309593776	8.358019408130849	8.443297393565201	8.488427972039911	9.02830237227891	8.792449442649339	9.183306955156189	8.70564650983369
ABAT	7.17843438741994	6.45010519975518	5.4569358704225	5.41999772761025	6.0652443025389005	5.82190257431007	8.31403872553232	8.730683764536119	8.25389419224075	8.04577529040161
ABCA1	7.448041302137231	7.38453148909198	8.80448759709052	9.356560834698321	9.746574911243869	10.123567715000801	9.69354281065269	7.85379655185256	8.751497247609	7.62428651407757
ABCA11P	4.915796753954861	4.68444247972884	4.70081608942462	4.99071540458299	4.52528732337438	4.4858223980801	4.4866040261262405	4.56738918179136	4.72377634045231	4.743982997000151
ABCA12	4.142636421076411	4.21273101179332	4.308670124797089	4.18895344569901	3.98718090683545	4.08899784301488	4.38654345375714	4.14700117704394	4.11254761542027	4.26213106495032
ABCA2	7.431936331415981	7.555133618854559	6.48040778841789	6.85660547730144	7.2956500647046605	7.20864285064189	7.23124270463292	7.3714995721559	7.503270340003049	7.345590419326951
ABCA3	5.83919319767722	5.997107594877289	6.08771277534104	6.049624527535349	6.29650672677003	5.9395039836679	6.345910936115731	6.40660575238984	6.08065232531316	6.34165703863196
ABCA4	6.3739461036068406	6.38005301415053	6.398050660417	6.970533750516171	6.459136269629309	6.331046899564741	6.42788128557877	6.359783100068491	6.4821777979661395	6.575425667475481
ABCA5	5.72531784687184	5.80849388370379	5.56027468716241	5.578585479346191	5.83780145697729	5.80032305015288	5.9321521430210105	5.83241415263534	6.19798218306573	5.94961543296126
ABCA6	4.91097248994663	4.8470444652408	4.90699358020329	5.0730353425894	4.89799063960233	4.82754814498932	4.487594800482849	4.9141219655462995	4.5455892094582495	4.75410819787339
ABCA7	8.72032437336272	9.169867602653142	7.11478806295146	7.511287466889889	7.948964024973299	7.51400461881791	9.11831842517867	9.27202074570555	8.94532066892728	10.4159537738248
ABCA8	3.97542584761818	4.14932670079689	3.99037934035313	4.15812659665002	4.29196833166525	4.36708192220018	4.076573080042721	4.17340584717297	4.04443659725658	4.0504523254940095
ABCB1	5.03852693526705	4.81093520426984	5.12332325862123	5.05948572707428	5.04621327390789	4.91302991160612	4.91156750033916	4.61087935803609	4.77730644743051	4.6033584004704
ABCB11	5.07593863054127	5.300424684073139	5.63151394420252	5.66304547436189	5.44392596017024	5.6991725248166505	5.0890317603915705	5.26484798114206	5.19383597093519	5.359516500262191
ABCB4	5.5082143978392395	5.2482321885487595	5.63067106412461	5.79070579180676	5.21242472939818	5.38300311078154	5.265106506169969	5.2475306837306395	5.183310872155969	5.32157467630622
ABCB6	6.4360738726317095	6.51716755322229	6.847250768460269	6.74802350807322	6.81016099373016	6.52813400925529	7.178304959655679	6.876286426226599	6.622520870083469	6.95283546898217
ABCB7	6.47276839563267	5.83996374771808	6.34717709964783	6.33424990225271	5.8550506899755295	5.5659927065642405	5.28003012345934	5.13958589376497	5.15844948770054	5.1543468273529
ABCB8	5.9974043445969905	5.97415908224655	5.809332666904321	5.53485631894178	6.0403864511565395	5.99154596297931	6.0562084211790195	6.043662699227751	6.110194890975571	6.2118698895666205
ABCB9	5.95574159300121	5.91983296497756	6.504097894062741	6.40924970607435	6.4522703606289005	6.17082865553229	6.25294618739577	6.22898254391436	6.059015867279309	6.216248030718499
ABCC1	8.58148756393288	8.59145349659709	8.24203768191342	8.31526221268517	8.756270347470121	8.82552132925558	8.346120817999639	7.0896403390873495	7.66051771383155	7.50687291061083
ABCC10	7.94084554471422	7.48277694123478	8.09867276019459	7.928088148942031	8.00670892157593	8.1985075833935	7.69074489443039	7.92137095498574	7.7635353390278805	8.23190960017137
ABCC2	5.869363954964559	6.0486032880617095	7.12662251373402	6.562819125445389	5.60117420076646	5.74139177662603	5.88175925236295	5.846159086166919	5.8077792547499	6.34189716197379
ABCC3	6.53573891116221	6.84139093842664	6.96661055350811	6.657517561630219	6.52104948486009	6.31331688602887	6.137952975450059	6.20853853639098	5.990598558039111	6.37971313478135
ABCC4	5.521174781591691	5.37220849455258	5.32775933411723	5.36111159501879	5.179100735452691	5.00619762979556	5.18040061004091	5.26404758658806	5.14176756087528	5.06358784282233
ABCC5	8.65454622006033	8.6789375635202	7.9304463992299405	8.0818865168681	8.62619855649898	8.417924423170481	8.938315859201241	9.208522191358538	9.468826291672599	10.0844364562362
ABCC6	6.241185007736	5.74350941926405	6.594893416332071	6.441458926716031	6.397966232319139	6.16309146561123	6.5006473383046295	6.63553426512679	6.4014013731604305	6.48243185596947
ABCC8	6.485998041376639	6.3921273906424805	6.993823287994079	7.03196246558448	6.531636171759829	6.69265948909872	6.306343050771201	6.128142036465451	6.47944343000435	6.16718519502255
ABCC9	6.441322846133669	6.430469282508321	6.213056787123361	6.615015429933161	6.095042444127981	6.216548903389599	5.95036208643355	5.95511832319744	6.25893175281806	6.7843870635557195
ABCD1	7.8802137147577	7.88166946168542	7.629613078799389	7.693673031893	7.77977066718681	7.37861850716154	8.45727184051143	7.59003706685614	7.556586268836969	7.92101244398597
ABCD2	4.014095135658231	4.09980682475029	3.91102546660232	4.05335512785483	3.8716313808598297	3.9123250494686603	4.04639941849594	3.8998316009118597	4.00159763604542	3.94707474630244
ABCD3	6.141179752152211	4.80524442026427	4.60491455925175	4.543483715008401	5.3225962097171795	4.88843211921421	4.96400824944317	4.9105568544559	5.58788624806049	5.603055358459001
ABCD4	6.71473234512885	6.6570812330192	6.375056881331741	6.590402083601919	6.42917862159979	6.25138287499636	6.51231889841258	6.248618464539041	6.56720522412266	6.81930191232785
ABCE1	5.31774113508654	5.60832764166682	5.13717886380355	5.12421648223227	5.5536570105650105	5.225922856445781	4.808341034702701	5.04692680041434	5.09908562576809	5.041285416947701
ABCF1	8.54202083244838	8.683444514957321	9.305717236950901	9.51705832809135	9.507667960973151	9.35591776375163	8.62561882664533	8.15578301101987	8.18181076002528	7.91863473547995
ABCF2	6.52684103519812	6.8769247865252305	6.231688060558669	6.01948568999081	7.020001308904309	6.42034012039322	6.36201432766016	6.88836764023532	7.02651519049682	6.70749890596463
ABCF3	7.25566124190494	7.3993951086253	6.907322993954089	7.155141755303191	6.96163307216625	6.989209679694341	7.5764941695542	7.26554254334337	7.2952563513253	7.2952237911883895
ABCG1	6.79330238312801	6.94731278145645	7.587857963764209	7.702584666777151	7.21172679854183	7.368714403866509	8.55996733285504	7.67114099422958	8.14837993521243	7.55307234831817
ABCG2	5.99097863188909	5.912611730366599	5.580965180836741	5.75280887766195	5.87346592612486	6.104764563208049	5.81212258406683	6.120959037557349	5.76492792871617	5.83592386225541
ABCG4	5.71526899186444	6.05531162269244	5.91869755819999	6.21701111021667	6.055925388748361	6.21084450090284	6.1648584109401705	5.99128911604555	6.01913756949391	6.08138142491133
ABCG5	5.15893230001487	5.07262898622829	5.484739133802449	5.9190173358455	5.00570450912112	5.00898910847885	5.22616288839189	4.91084013281436	5.1720200764728395	4.96872304515934
ABHD10	7.571678885227799	7.317120854024269	7.2873662506398	7.151388456253019	7.00328283112107	6.95833060032241	6.4627477371085895	6.88433584004433	6.758823450036879	6.88230976425303
ABHD11	7.23867252916724	7.41515242591334	6.96146653024343	7.34333048033663	7.035965637356339	7.1159842200440195	7.30463054341632	7.69847630973452	7.809156002911429	7.6206925756093895
ABHD17A	8.618106442352309	8.53112116007516	7.6884410024752805	7.68901005082799	8.13797201017592	7.79139649347974	8.56446012481516	8.83796004630323	9.25948431463608	9.1062263779774
ABHD17B	6.555614257260141	7.042910366077661	6.6280138875926795	6.52412900249742	6.29354456389292	6.511626321527951	6.72242474083624	6.85960853386595	6.91105036159914	6.8275518821017505
ABHD18	5.32129701886304	5.68264991546015	5.362991997114559	5.34468770201143	5.416820916401889	5.44187846083478	5.333562667644419	6.3139329741709105	6.08270321164579	5.7881583924682705
ABHD2	8.68712469429812	9.532465473293769	8.21493372333587	8.37071046547114	9.036026604815472	8.87552736283743	9.02531363834533	10.723458387	10.6928998866102	9.750343453387769
ABHD3	8.344868142574331	8.62190431994574	7.467583883587411	7.62275127014233	8.57596367867018	8.19084792461235	8.712839225430631	9.55913019009842	10.100352760108	10.0527354080005
ABHD4	8.88819194496444	8.62790215241063	8.30892500314067	8.35382391802663	8.55337236829664	8.72789337757319	9.238372876238	9.01191167090046	9.40123224315646	9.16166712439882
ABHD5	8.56736666673589	8.47223148171479	8.62207778326869	8.4610320877692	9.290631766358661	8.99276717307032	10.4013994823344	9.44051743180073	9.961248617687321	9.38738010776049
ABHD6	6.15142344940286	6.35243694405362	6.805813079003349	6.301220804303651	6.0197145100669305	6.073545122560639	6.56522740056777	6.44947684340901	5.907580528422519	5.952019568876739
ABHD8	6.418839887225679	6.2321937747769	6.93496576563818	6.8579140529219105	6.431596431477409	6.47465908800584	6.16151966790372	6.4635968764713505	6.38645518225484	6.8025726542900395
ABI1	8.46269339111606	8.13893159401585	8.05835393729002	8.241772079659231	9.50593506954483	9.417446415757109	9.49868514345381	9.36601983384912	9.496933080018222	8.76977432811541
ABI2	8.18637356478713	7.9639939318105695	7.97985804647921	8.18746848984316	8.05144213309176	8.00587660590447	7.9301773050460005	8.24485322271216	8.0038701784173	8.05420310428006
ABI3BP	4.9965243990190995	5.3121536266579	5.1295167594661395	4.95898346466002	4.8201168181059	5.23160135554203	5.0887810587230895	5.04947459510702	5.10842262604793	5.37518015588088
ABL1	6.221388044041519	6.357023165567679	6.7330994561642195	6.67239097285233	6.99973863347703	7.477048912775941	6.27533753583215	6.5375803899127005	7.10912521229079	6.740336275425
ABL2	6.72504619810189	6.8755812869941195	6.91498087516291	6.49190444502426	6.53119845704795	6.66213481698118	6.58211338850911	6.519632352829291	6.33422516366485	6.65665891657132
ABLIM1	6.35692998263638	6.80728907133747	6.790173300221809	6.67425520383344	6.73994358526745	6.6631545272454	6.57411297177676	6.6367569758508	6.48593712576239	6.557778395550059
ABLIM3	6.44385891760456	5.94128445050279	5.91597885861319	5.675513576015019	6.12148783536744	6.1019588940151595	5.98244517767306	6.07146684187255	5.91518322197639	6.2337070261496
ABO	6.2484538103175	6.73068434632465	7.25337985293658	7.20596410689826	6.98396806154802	6.688975703695441	6.696323408258389	6.55085732343045	6.77736399589338	6.625701837057
ABR	9.05800551494207	8.97432944660188	8.28830806219202	8.18325692294037	8.57021131035467	8.531856667962941	9.48730932900777	9.70390315331424	9.96219423406459	9.833609220710189
ABRAXAS2	8.00422508544717	7.66817626802637	7.482756102224901	7.73131662100764	7.67286879407921	7.796730185472231	7.66394162632236	7.66193174837095	7.478282900708019	7.724078640771281
ABT1	7.809225282111111	7.75826665019253	7.4377768914115405	7.83326179030516	7.674340915327929	7.79573465252818	7.976652050947321	7.620956937065281	8.058967767200379	7.7089749825791705
ABTB2	7.10327256613356	6.9175706536255	7.253720816377269	7.5776185388931205	7.252585717784361	7.323164122274059	7.66167143830674	6.96513303531686	7.22266153243798	7.16547103439049
ACAA1	8.7476437075983	8.81566177396199	8.882384808138859	8.702306105423201	9.467817356294551	8.99541156089401	9.39397450020403	9.229332794334141	9.481880915077651	9.68259036900355
ACAA2	8.25810886699667	7.39144999974694	7.368689659541429	7.71745426305148	7.16055019369456	6.87476851323359	7.051537032368751	6.762914841293959	6.59509131291317	7.30201865829694
ACACA	7.278627798728	6.94994763161119	7.3629316422601105	6.86855705818926	7.55004599238162	7.58710149664111	6.748140165733651	7.49125040716375	7.267053305567661	7.196854048883259
ACACB	6.47844504349633	6.57515280233292	7.177415694138861	7.63428859931654	6.788833328340219	6.8287850669594405	6.4192014333587	6.63764306114663	6.5491181349813	6.76798628608145
ACAD10	6.49579599592631	6.492910258107459	6.263366403693019	6.16288863725921	6.753177309674691	6.5020231987749195	7.285335446823059	6.7837856593418495	7.04087349842217	6.59676251755731
ACAD8	6.11902873286216	6.17696362757344	5.14734606112196	5.20427953845829	5.71432397716372	5.8182752521820404	6.55934373498545	6.745902868461481	6.73766606149702	6.72636452535847
ACADL	4.99346275366035	5.233094680227441	5.08610035231845	5.03780302728759	4.91040241706743	4.94376521677617	4.957984983643151	4.7747823117167405	5.10402233794891	5.19098407634513
