	0	1	2	3	4	5	6	7	8	9
A1CF	5.90823376467548	6.30836769951056	6.442647388569269	6.82102280993422	6.49616175439772	6.3059360609522	6.609947710815389	6.7052557342148305	6.04690220324694	6.61506631509518
A2M	5.31256679343368	5.52770151425449	5.48922887842193	5.956066322281541	6.026597070024789	5.89330791057396	5.81491610102506	5.75732759416543	5.9519574669729005	5.55612361218245
A4GALT	6.463092672746839	6.215756084901309	6.7778128915093605	6.20120512325734	6.19132927239409	5.911888655743481	6.8576388764808796	6.012288260404629	7.13478843695965	6.03798649839706
A4GNT	6.31590814470538	6.371551774532111	6.363155254528719	6.3618982655153005	6.4463914561342595	6.29695170547784	6.51128595979938	6.48829219291371	6.474866695517	6.64846356956951
AAAS	8.134304514388809	7.940478139090871	7.99846427594516	7.79465723782156	7.813025169525809	7.84865838109778	8.2082506404019	7.79367250114134	7.15510621262617	7.835631964342821
AACS	6.83623382753416	6.19028779778924	6.56855760701246	6.67584595744152	6.385537374035679	6.5837595539522695	6.53040472759416	6.81169045936993	5.969953106326031	6.85351808084732
AADAC	5.385265815994019	5.3384620232769695	5.189222080501629	5.38537124400656	5.3408627775573	5.4148239920489	5.425917979898861	5.48345507499444	5.1133349200855305	5.35079775401831
AAGAB	6.80904115590744	6.62768624135262	6.67413210591005	6.528686804000221	6.58139823322566	6.47867826926211	6.887210578052441	6.59362749012951	7.285661529955361	7.048505037280999
AAK1	8.68211168822399	8.11078418349943	7.695398548632441	7.587132490107889	8.61954060608284	7.69290336597023	8.23065185581109	8.36932676785364	6.97612919994735	9.67545311067978
AAMDC	7.019302527807679	7.0492307663791705	7.14840510452497	6.98268124498068	6.84189910177035	6.93729974436133	6.951507829410111	7.0720473377871205	7.14126810905468	7.42263020060843
AAMP	8.387935348161191	8.51002905457412	8.39228438626547	8.36520297972064	8.43291230455111	8.31402700859131	8.22602914044151	8.26844206990244	8.00770475896182	8.44984955238746
AANAT	5.4590264068184196	5.55405440133375	5.70035027938164	5.62915641212105	5.510814498666461	5.413644234361991	5.92344905656386	5.49094722528178	5.82901470818013	5.65204764579941
AAR2	8.31217085782087	8.50366090989973	8.31255063190763	8.11363165924403	8.35865937729735	8.11227680804512	8.4123875118472	8.29715675727104	8.186059337844531	8.40794241619765
AARS	9.03712081125509	9.120223130735331	8.822670713309051	8.623312510056191	8.80794709853226	8.55756427247894	8.86318310239114	8.60332146473384	8.031367065897651	8.625668612769969
AASDHPPT	8.667618135173809	9.10534946279324	8.235240039480681	9.21579814790241	9.14350877673875	9.085258336577919	8.01499302938343	8.04511354205885	7.67327358778999	8.43172631731295
AASS	4.60567523407811	4.546552643326209	4.757568397542469	4.33406940138734	4.6435070838752	4.34749312923132	4.68804928917908	4.7014294283534594	4.51579407920245	4.74907381972973
AATF	9.516632461411179	9.28808495368965	9.214423168046359	8.779307750681982	8.93446114400134	9.100001927992029	9.353332163773882	9.16468791703953	8.29235897818466	9.494041827478949
AATK	7.162008133779611	7.36411409133237	7.320652826612611	7.31968402923276	7.365893029517861	7.577166344502221	7.49984492052701	7.573362517775379	7.78208413380473	7.26017180188433
ABAT	6.109599140263731	6.40069904846931	5.89714816299593	6.0447295682012	6.33060153774885	6.27939146913759	6.14680409272574	6.1684195331025	6.26420213265442	6.02607177956
ABCA1	6.26814287477619	6.33144624402051	6.2546206627091205	6.5604574158398306	6.39307130017138	6.082560141071099	6.45432018370152	6.26447110741967	6.40112443969769	6.23319890471617
ABCA11P	4.69548460318614	4.902453905443441	4.702972050697549	5.39548672843886	4.7578986264012695	4.89416192364269	4.71349642600721	4.62101723121127	4.46751722279307	4.57556445078666
ABCA12	4.07251464996333	4.1501789051128	4.10698538834171	4.00619801230364	4.18055088331907	3.9329827430496698	4.15566223486824	4.12828157230363	4.4766917797809604	4.16453714127145
ABCA2	7.63731929045854	6.929778324048059	7.19154825011084	6.937149877203179	7.74036448178206	7.230787656706839	7.9031920546062	7.61312037860938	7.69648906430295	7.4100958485942
ABCA3	6.504036045757509	5.97062367556556	6.5276254521160695	5.8970890320624605	6.213898781117259	6.03795181410864	6.56464242348517	5.75578674896696	7.58635274319049	6.451431680366941
ABCA4	6.08304340255554	6.17299335814463	6.30577185741235	6.25836485710431	6.35240075337538	6.26850632817711	6.351648334733531	6.38216011826638	6.06985705457058	6.365443427766861
ABCA5	5.8542672946879195	5.469532029782269	5.712848304279901	5.70232917217041	5.6655167146331005	5.771950404613509	5.72730144611099	6.0710145987605	5.552781074367481	5.83666657541942
ABCA6	4.6508356771884	4.7874923613264	4.44384677634269	4.9087256200223095	4.68366525639906	4.66852789191953	4.60943322748536	4.68164918883939	4.59483981427147	4.38488021437715
ABCA7	8.38440649156664	6.696968263144929	7.86258138021517	7.1303197667622005	7.33502800093518	7.57564884435145	7.773885083695331	7.7405861551247	8.07921205403033	9.25155206791949
ABCA8	4.09689762660961	4.0822059792634	4.02367941036226	4.06973168187183	4.0380764592298695	4.0173677086613395	4.05575516030923	4.13840355175645	4.22250876844012	4.04129135170648
ABCB1	6.1318571863153695	5.5809042964156	6.092713824439451	5.14607563717689	5.367288942578731	5.24329974919146	5.26229769578387	5.5907095201350305	5.01044711103485	5.50292685471305
ABCB11	4.9542218340117	5.08419173839334	5.03491245765388	4.74901214491849	5.11083354470156	4.87387400194558	5.33759786130374	5.12729392606645	5.13192014111086	5.422602891089441
ABCB4	4.83083315383137	4.95130432687091	4.99419503939663	5.359744949792179	4.84416762181171	4.9570958789362	4.839650644602219	5.06183339174394	5.227980389188531	4.848515078498809
ABCB6	7.187615396241401	7.01671264605532	6.97096387885328	6.815576213933071	6.88159432305679	6.67411744115488	7.2108212782228	6.571444390545219	6.60471327350094	6.74728503140981
ABCB7	7.558308827868941	7.36550970797735	7.16296925874078	7.10462893690289	7.051722649190579	6.67131074430174	7.1059095343517304	6.7839310813800395	6.751985626126371	7.150330508741111
ABCB8	6.190102121071369	6.009448915838551	6.1970682790616705	5.878490390189261	6.0799498983695806	5.919166046924841	6.1851455778312	6.17012329180833	5.90286993101284	6.108242651917009
ABCB9	6.16790028547267	6.068864621852599	5.91074270596439	5.926160671269259	6.143758266994281	6.112625280111001	6.1964393381834695	5.89037527907804	6.314697371517889	5.96459172132233
ABCC1	9.09570460333939	8.32905542590876	8.59793374394567	8.44556856238694	8.700644990179029	8.58168346993144	8.89612603987494	8.87745061908449	8.65417368509518	9.07238121690046
ABCC10	8.75077299627857	8.34508720054128	8.50498655699544	8.39293660618215	8.68027133063943	8.28203375409618	8.45373562246045	8.52192557688535	8.27444923357444	8.63823574994205
ABCC2	5.367764832033401	5.55389675253268	5.4192306052175905	5.487744915519969	5.16116838456333	5.262454809276139	5.519991934928401	5.72194927737168	5.39865316293117	5.65035351191263
ABCC3	6.10171272689088	5.91248030308854	6.54989592536721	5.895870848181889	5.86997376323376	6.201105899382349	6.07361884108266	5.91750983525824	6.541512113735731	6.11752989654877
ABCC4	5.822985391205549	5.71296259806736	6.091245421126231	5.62950675328884	5.6427309318621095	5.91868693948941	5.68810686142557	5.40262453028913	5.39938000987008	5.431933066857481
ABCC5	7.97048513848035	7.55615978509218	7.706439672047111	7.47052798991866	7.667341197773791	7.88086432649841	7.60668764940176	7.80483479812659	7.16014599325063	8.17401222858181
ABCC6	6.32665607210029	6.40529134289039	6.388114993788331	5.86693861855996	6.208780269028111	5.9650759096042405	6.268684105319	6.35901701507107	6.920932075145481	6.132603224750629
ABCC8	5.73450812552176	6.333571105797019	6.09712018480158	6.24767374324717	6.11984480568126	6.1613043185007	6.277738995028519	6.389068874669889	6.80229099980765	6.18318329332443
ABCC9	5.9643209590224195	6.13109610384107	5.873547640844951	6.23937507975398	5.99223970995584	5.899920678144809	5.95572347996764	6.1315144356837	5.823803542810871	6.0379055691053
ABCD1	7.36085423585469	7.07340863092583	7.29550009810663	7.5235596641180305	7.6934094749107995	7.415815091783349	7.4125973179054405	7.379476669780481	7.005106201905759	7.69154034502776
ABCD2	4.15854813589017	4.55762321687057	4.34686798665896	4.76769870308379	4.41012803582027	4.4024878692879	4.0982667826942905	4.06583497721395	3.84255262533534	3.89351279775985
ABCD3	7.461668211866139	7.477985578526501	6.8889020852925595	7.011142232004549	7.205546799706121	6.688430519388451	6.181877745818549	5.89326852268614	5.0283332726682906	6.26643558780375
ABCD4	7.608888806795799	7.30278783966764	7.4025293378677794	6.77611282382427	7.316433359733031	7.080726435654629	7.3063527902887095	7.180998209552819	6.50934096826169	7.60680849598379
ABCE1	8.30241765756992	8.053564412771902	7.84200887390543	8.289203194675501	8.26919107686924	8.01493892111223	7.274068609793611	7.54588046498022	6.52002621748588	7.71906731299541
ABCF1	9.84825756891609	9.24347080163489	9.077871696036711	8.902164719545391	9.415003256015641	9.14729222729623	9.18486812450408	9.2481600842992	8.701444774517041	9.42678889914302
ABCF2	7.97494587013794	8.16647848779616	7.911974484237291	7.72961152770419	7.80183325223987	7.80409686128901	7.8024875398934	7.718483223415309	6.643859863657861	7.59392667372324
ABCF3	7.417506025653809	7.08264411367138	7.5695583527477694	6.80362457028637	7.089363763732599	7.07175250247473	7.39098792160139	7.70284941105187	7.29513017663972	7.60828350817508
ABCG1	6.84109551005595	6.60858288260682	6.832534119512321	6.74647772443028	6.73050727236364	6.630947767168389	6.3986544669839205	6.65301530139929	6.4498204548955	6.4962464719863
ABCG2	5.8745860776620695	6.01595563613156	5.727761967624461	5.93158734250399	5.753881351161879	5.67059934264487	5.83609474430233	6.02432211953377	5.95552469957352	5.54311392643659
ABCG4	5.677377177508559	5.67684735036744	5.611752920066889	5.96748316190826	5.81340537931494	5.4383326855980005	5.74836351900576	5.64778299392578	5.607856532704919	5.75238571146882
ABCG5	4.99677544654842	4.95941971347683	4.755298115143209	4.91629693172447	4.98601763116474	4.901990813539481	5.03900340452948	5.25651766123442	5.04660626200865	5.003232207183769
ABHD10	7.909769432728241	7.94698195053516	7.72321502242941	7.8624356140425595	7.658600109676089	7.51558638437821	7.738850929009381	7.63783490819628	7.43524549786044	7.93746646422575
ABHD11	7.5061792982842395	7.36273405734007	7.414488114148071	6.6744857775867	7.11374477547951	6.9577775440784695	7.2409801927586	7.344852208979829	7.67684694998619	7.525296694454711
ABHD17A	11.055691403104	11.198687573030698	10.5833314617412	10.1697589524844	10.774102589981501	10.151886690547801	11.029089909449198	11.030922773880501	10.856786671726999	10.878311823380802
ABHD17B	6.77112578753435	7.625550200189481	6.85544846738575	7.32200913650619	7.00583335206029	7.31025445748678	6.75371898520576	7.50088589435308	6.8858149636101995	6.311675407416709
ABHD18	5.29439838633589	5.407225849512099	5.2333993286302105	5.22843215264291	5.36233697974537	5.828087353741929	5.36028807920787	5.4682246669534305	5.28729392352592	5.346039608213781
ABHD2	8.03169467975871	7.70408734902321	7.442814263272691	7.2334971705880795	7.260815774005329	7.64777782831588	7.58133715023403	7.431532569385491	6.379261031834691	8.01900998355072
ABHD3	7.53387156171588	8.16951679619723	7.59369350589108	8.15514091415624	8.57732752704066	7.9760513994655	7.27944747617942	7.678660834662911	7.0774526766765895	7.39758603768563
ABHD4	7.6726826652645	8.0357217206275	7.823756125275019	8.00505341385278	8.13280640539161	8.08180055562774	7.833333669659011	8.00802215652525	7.36189746529014	7.878706559465701
ABHD5	6.4907855958721505	6.5459488159920705	6.3844102163919905	5.91786446384187	6.19643361740533	5.9802595069919695	6.07568876060232	5.921981712616941	6.18667009365742	6.16044864359481
ABHD6	6.04439944501886	5.97927759649809	6.10680272213608	5.99206609452746	5.88132083528242	5.71534262205315	6.22770156281337	5.925797362655031	6.160960826646	5.94160803961455
ABHD8	6.39916068411911	6.46468412820951	6.405620651658929	5.966689649722801	6.23043909056626	6.040813018661691	6.30198344073223	6.26070379337655	5.93143889123595	6.21516416931127
ABI1	8.67569234485069	9.017083231053439	8.95443781686474	8.855996270547939	8.894371754081869	9.04936311362061	7.9465380883167995	8.91052620676241	8.63564216533239	7.95647967356348
ABI2	7.55407938177987	7.82512648517223	7.55488033063918	8.229337680677299	7.642882703970161	7.9209287190404805	7.6322365334424696	7.79733931938938	7.673869742521029	7.6582227882002
ABI3BP	4.89172650393464	4.7657637734413	4.79813416445922	5.15594184890673	4.77717417938738	4.847745154695031	4.88176035420161	4.807951835589201	4.783533853345809	4.84620007607358
ABL1	8.03668603719838	7.9791396392452	7.8332672422880805	7.93420001641988	7.9635655075922	7.81693077457278	7.77314155108925	7.9201973017134595	7.539120084514249	7.82984246499261
ABL2	6.222761875193799	6.47766613803715	6.4208060813503804	6.35252384784823	6.35052885904907	6.166147935604809	6.5014092971235	6.42219101394991	6.22370107564216	6.58272383228958
ABLIM1	10.4948437928366	9.39477846646099	10.6308781838706	8.94821386208659	9.57990639350134	9.2464055817218	9.83805204379114	10.052199749939598	9.449650659193109	10.258370893087
ABLIM3	5.71230258170192	5.6056112511143805	6.47948439876868	5.55528397123504	5.52759421396933	6.2130574738516	5.8683025782275	5.67737198579842	5.86504271959271	5.96118629229364
ABO	6.2491466976062	6.46032639931444	6.26879805033524	6.28410982279121	6.32428352579237	6.48270717042009	6.5243348874549	6.43494070976692	6.17705690835419	6.710453326669179
ABR	8.632754215205981	8.12089100189659	8.59439746929824	8.448666103842701	8.296896541244541	8.406610539662651	8.79982845170109	8.591713138952219	8.35692759846532	8.838462801271461
ABRAXAS2	7.97823077477546	8.03619436754008	7.955185317616579	8.2163287672414	8.03441080351923	7.95493518316345	7.8666552361949895	7.77508572086116	7.32789205322307	7.66639294061432
ABT1	8.423426218410011	8.75097545437964	9.06558674967034	8.00199505302858	8.44688550969504	8.23708364494734	8.64531090439994	8.802120758925382	8.46523178386403	8.63398269976427
ABTB2	6.614879331968	6.4457306138932005	6.4901437176898495	6.2216187797376	6.70694372558082	6.252140571008309	6.50310579782879	6.745011758348651	6.70338261895771	6.51276359268474
ACAA1	9.054404664084439	8.90297992894902	8.93912001409808	8.54733247361164	8.283914778516719	8.41611155016297	8.92517156754028	8.405412681285041	8.604763934994251	8.647142395494031
ACAA2	9.84400354581213	10.226956719495199	9.288830917799778	8.593066595360481	9.724278540500151	8.63679260063427	9.34876310340245	9.10480629486269	8.471968937609889	8.82936282964582
ACACA	7.385032033371281	7.350912817298441	7.23261641777225	7.360877334146039	7.28197106633937	7.5702938012252305	7.28422288028975	7.23824112342296	7.05764081184319	7.273502107997251
ACACB	6.49693053287195	6.128983067309389	6.61703430431411	6.43334744204772	6.486239370364441	6.445762555872131	6.61321865753811	6.643468732751441	7.531989949367071	6.78605149406782
ACAD10	6.994119144142259	6.616350331803121	6.83463639226172	6.677419547589969	6.8910534188239	6.59765252615347	6.882109924570741	6.57133968703189	7.15244448870867	6.497410974166581
ACAD8	7.1602646765287306	6.8934790759479405	7.06249602896126	6.473261157303781	7.205762107165589	6.71902775638999	6.20724352658409	6.7403058872845305	5.53023604417521	6.2589919199662996
ACADL	4.810329170422889	4.96408636960364	4.8976605831359805	4.83088859531171	4.84569884041882	4.720477455312901	4.769607544891691	4.85376327476058	4.88605413080369	4.77201550103059
ACADM	7.54826785162873	7.65375537121385	7.068375683789821	7.92931160758355	7.99489153559992	8.111394347288599	6.4936110222712005	7.163013746637501	6.51821886946672	7.043114039124731
